Season,Player,Salary,times_injured,WS,Pos,OWS,DWS,Age,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2022,Aaron Gordon,19690909,26,5.2,PF,3.2,2,26,5.8,11.1,1.2,3.5,4.6,7.7,2.3,3.1,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15
2022,Al Horford,26500000,47,7.6,C,3.7,3.8,35,3.9,8.2,1.3,3.8,2.6,4.4,1.2,1.4,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2
2022,Alec Burks,10012800,19,6.1,SG,3.2,2.9,30,3.5,9,1.9,4.8,1.6,4.2,2.7,3.3,0.6,4.3,4.9,3,1,0.3,1.1,2.7,11.7
2022,Alex Caruso,9030000,11,2,SG,0.7,1.2,27,2.5,6.2,1,3.1,1.5,3.2,1.4,1.8,0.8,2.8,3.6,4,1.7,0.4,1.4,2.6,7.4
2022,Alex Len,3918600,36,0.9,C,0.4,0.5,28,2.4,4.5,0.2,0.5,2.3,4,1.1,1.6,1.3,2.8,4.1,1.2,0.3,0.6,1.1,2.6,6
2022,Amir Coffey,3395062,1,3.8,SG,2.3,1.5,24,3.1,6.8,1.4,3.7,1.7,3.1,1.5,1.7,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9
2022,Andre Drummond,3200000,12,5.1,C,2,3.1,28,3.4,5.9,0,0,3.4,5.9,1.2,2.2,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9
2022,Andre Iguodala,1836090,58,1.6,SF,0.5,1.1,38,1.5,3.9,0.5,2.4,0.9,1.5,0.5,0.6,0.7,2.5,3.2,3.7,0.9,0.7,0.9,1.1,4
2022,Andrew Wiggins,33616770,12,5.1,SF,1.8,3.4,26,6.5,14,2.2,5.5,4.4,8.5,2,3.2,1.2,3.3,4.5,2.2,1,0.7,1.5,2.2,17.2
2022,Anfernee Simons,22321429,2,1.9,SG,2,-0.1,22,6.2,14,3.1,7.8,3.1,6.2,1.8,2,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3
2022,Anthony Davis,37980720,71,4.5,C,2.6,2,28,9.3,17.4,0.3,1.8,8.9,15.6,4.4,6.1,2.7,7.2,9.9,3.1,1.2,2.3,2.1,2.4,23.2
2022,Austin Rivers,1836090,30,1.2,SG,0.1,1.1,29,2.2,5.2,1.2,3.4,1,1.8,0.5,0.7,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6
2022,Bam Adebayo,30351780,5,7.2,C,3.6,3.5,24,7.3,13,0,0.1,7.3,12.9,4.6,6.1,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1
2023,Ben Simmons,35448672,14,0.7,PG,0.3,0.4,26,3.5,5.9,0,0.1,3.5,5.8,0.9,1.8,1,5.8,6.8,5.7,1,0.5,2.3,3.8,7.9
2022,Bismack Biyombo,1836090,12,1.8,C,0.9,0.9,29,2.4,4,0,0,2.4,4,1.1,2,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8
