Season,DRtg,ORtg,Rel_DRtg,Rel_ORtg,Pace,G,MP,FG,FGA,3P,3PA,ORB,DRB,TRB,AST,PTS,FG%,3P%,ORtg
2022-23,111.97666666666667,112.22333333333333,-0.12333333333333328,0.12333333333333335,99.69333333333334,171,242.5,41.1,88.6,12.2,34.2,10.6,33.3,44,25,112.6,0.465,0.356,112
2021-22,111.95,111.97333333333333,-0.05000000000000001,-0.026666666666666707,98.22333333333333,1230,241.4,40.6,88.1,12.4,35.2,10.3,34.1,44.5,24.6,110.6,0.461,0.354,112
2020-21,112.33,112.35333333333332,0.030000000000000013,0.05333333333333338,99.18,1080,241.4,41.2,88.4,12.7,34.6,9.8,34.5,44.3,24.8,112.1,0.466,0.367,112.3
2019-20,110.68,110.5,0.08000000000000003,-0.10000000000000003,100.31,1059,241.8,40.9,88.8,12.2,34.1,10.1,34.8,44.8,24.4,111.8,0.46,0.358,110.6
2018-19,110.40333333333334,110.4,0.003333333333333351,0,100.03666666666666,1230,241.6,41.1,89.2,11.4,32,10.3,34.8,45.2,24.6,111.2,0.461,0.355,110.4
2017-18,108.60666666666665,108.61666666666666,0.006666666666666643,0.01666666666666664,97.32333333333332,1230,241.4,39.6,86.1,10.5,29,9.7,33.8,43.5,23.2,106.3,0.46,0.362,108.6
2016-17,108.78,108.81,-0.020000000000000004,0.010000000000000009,96.4,1230,241.6,39,85.4,9.7,27,10.1,33.4,43.5,22.6,105.6,0.457,0.358,108.8
2015-16,106.39333333333335,106.39333333333333,-0.00666666666666668,-0.006666666666666739,95.77666666666667,1230,241.8,38.2,84.6,8.5,24.1,10.4,33.3,43.8,22.3,102.7,0.452,0.354,106.4
2014-15,105.65,105.64,0.05,0.039999999999999945,93.90333333333334,1230,242,37.5,83.6,7.8,22.4,10.9,32.4,43.3,22,100,0.449,0.35,105.6
2013-14,106.64333333333335,106.65,-0.056666666666666705,-0.05000000000000002,93.95,1230,242,37.7,83,7.7,21.5,10.9,31.8,42.7,22,101,0.454,0.36,106.6
2012-13,105.84333333333333,105.83666666666666,-0.056666666666666664,-0.06333333333333334,92,1229,241.9,37.1,82,7.2,20,11.2,31,42.1,22.1,98.1,0.453,0.359,105.8
2011-12,104.6,104.58999999999999,-0.000000000000000044408920985006264,-0.010000000000000018,91.27333333333333,990,241.9,36.5,81.4,6.4,18.4,11.4,30.8,42.2,21,96.3,0.448,0.349,104.6
2010-11,107.22666666666667,107.25666666666666,-0.07333333333333333,-0.0433333333333333,92.08,1230,241.9,37.2,81.2,6.5,18,10.9,30.5,41.4,21.5,99.6,0.459,0.358,107.3
