Season,Player,Pos,WS,OWS,DWS,Age,Tm,FG,FGA,X3P,X3PA,X2P,X2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,Kareem Abdul-Jabbar,C,14.8,9.5,5.3,32,LAL,10.2,16.9,0,0,10.2,16.9,4.4,5.8,2.3,8.5,10.8,4.5,1,3.4,3.6,2.6,24.8
1980,Tom Abernethy,PF,2,1.2,0.8,25,GSW,2.3,4.7,0,0,2.3,4.7,0.8,1.2,0.9,1.9,2.9,1.3,0.5,0.2,0.6,1.8,5.4
1980,Alvan Adams,C,7,3.1,3.9,25,PHO,6.2,11.7,0,0,6.2,11.6,2.5,3.1,2.1,6,8.1,4.3,1.4,0.7,2.9,3.2,14.9
1980,Tiny Archibald,PG,8.9,5.9,2.9,31,BOS,4.8,9.9,0.1,0.2,4.7,9.7,4.5,5.4,0.7,1.7,2.5,8.4,1.3,0.1,3,2.7,14.1
1980,Dennis Awtrey,C,0.6,0.1,0.5,31,CHI,1,2.3,0,0,1,2.3,1.2,1.9,1.1,3.3,4.4,1.5,0.5,0.6,1,2.5,3.3
1980,Gus Bailey,SG,0.2,0,0.2,28,WSB,0.8,1.8,0.1,0.1,0.8,1.7,0.3,0.7,0.3,1.1,1.4,1.3,0.4,0.2,0.6,0.9,1.9
1980,James Bailey,PF,1,-0.4,1.4,22,SEA,1.8,4,0,0,1.8,4,1,1.5,1.1,1.9,2.9,0.4,0.3,0.8,1.2,1.7,4.7
1980,Greg Ballard,SF,6.9,4.1,2.8,25,WSB,6.6,13.4,0.2,0.6,6.5,12.9,2.1,2.8,2.9,4.9,7.8,1.9,1.1,0.4,1.6,2.4,15.6
1980,Mike Bantom,SF,3.9,2.1,1.9,28,IND,5,9.9,0,0,5,9.8,1.8,2.7,2.5,3.4,5.9,3.6,1.1,0.6,2.5,3.5,11.8
1980,Marvin Barnes,PF,0.1,-0.1,0.2,27,SDC,1.2,3,0,0,1.2,3,0.8,1.6,1.7,2.2,3.9,0.9,0.3,0.6,0.9,2.6,3.2
1980,Rick Barry,SF,3.4,2.2,1.2,35,HOU,4.5,10.7,1,3.1,3.5,7.6,2,2.1,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12
1980,Tim Bassett,PF,0.1,-0.1,0.2,28,TOT,1,2.8,0,0,1,2.8,0.8,1.3,0.9,1.8,2.8,1.2,0.7,0,0.8,2.3,2.8
1980,Tim Bassett,PF,0.1,-0.1,0.2,28,NJN,1.1,3.1,0,0,1.1,3.1,1.1,1.7,1,1.6,2.6,0.6,0.7,0,0.6,2,3.4
1980,Tim Bassett,PF,0.1,-0.1,0.2,28,SAS,0.8,2.4,0,0,0.8,2.4,0.4,0.6,0.8,2.2,3,2,0.6,0,1,2.6,2
1980,Tim Bassett,PF,0.1,0,0.1,28,TOT,1,2.8,0,0,1,2.8,0.8,1.3,0.9,1.8,2.8,1.2,0.7,0,0.8,2.3,2.8
1980,Tim Bassett,PF,0.1,0,0.1,28,NJN,1.1,3.1,0,0,1.1,3.1,1.1,1.7,1,1.6,2.6,0.6,0.7,0,0.6,2,3.4
1980,Tim Bassett,PF,0.1,0,0.1,28,SAS,0.8,2.4,0,0,0.8,2.4,0.4,0.6,0.8,2.2,3,2,0.6,0,1,2.6,2
1980,Tim Bassett,PF,0,-0.1,0,28,TOT,1,2.8,0,0,1,2.8,0.8,1.3,0.9,1.8,2.8,1.2,0.7,0,0.8,2.3,2.8
1980,Tim Bassett,PF,0,-0.1,0,28,NJN,1.1,3.1,0,0,1.1,3.1,1.1,1.7,1,1.6,2.6,0.6,0.7,0,0.6,2,3.4
1980,Tim Bassett,PF,0,-0.1,0,28,SAS,0.8,2.4,0,0,0.8,2.4,0.4,0.6,0.8,2.2,3,2,0.6,0,1,2.6,2
1980,Billy Ray Bates,SG,0.9,0.7,0.3,23,POR,4.5,9.1,0.5,1.2,4,7.9,1.8,2.4,0.8,1,1.8,1.9,0.9,0.1,1.3,1.6,11.3
1980,Ron Behagen,PF,0.1,0,0.1,29,WSB,1.5,3.8,0,0,1.5,3.8,0.8,1,1,1.3,2.3,1.2,0,0.7,0.7,2.3,3.8
1980,Kent Benson,C,3.2,0.4,2.7,25,TOT,4.1,8.5,0,0.1,4.1,8.4,1.4,1.9,1.7,4.5,6.2,2.4,1,1.3,2.2,3.4,9.6
1980,Kent Benson,C,3.2,0.4,2.7,25,MIL,3.8,7.7,0,0,3.8,7.7,1.2,1.7,1.7,4.2,5.9,2.3,1,1.3,1.9,3.2,8.8
1980,Kent Benson,C,3.2,0.4,2.7,25,DET,5.1,11,0.1,0.2,5,10.8,1.9,2.6,1.8,5.3,7.1,3,1.1,1.1,3,4,12.1
1980,Kent Benson,C,2.9,0.6,2.3,25,TOT,4.1,8.5,0,0.1,4.1,8.4,1.4,1.9,1.7,4.5,6.2,2.4,1,1.3,2.2,3.4,9.6
1980,Kent Benson,C,2.9,0.6,2.3,25,MIL,3.8,7.7,0,0,3.8,7.7,1.2,1.7,1.7,4.2,5.9,2.3,1,1.3,1.9,3.2,8.8
1980,Kent Benson,C,2.9,0.6,2.3,25,DET,5.1,11,0.1,0.2,5,10.8,1.9,2.6,1.8,5.3,7.1,3,1.1,1.1,3,4,12.1
1980,Kent Benson,C,0.3,-0.2,0.4,25,TOT,4.1,8.5,0,0.1,4.1,8.4,1.4,1.9,1.7,4.5,6.2,2.4,1,1.3,2.2,3.4,9.6
1980,Kent Benson,C,0.3,-0.2,0.4,25,MIL,3.8,7.7,0,0,3.8,7.7,1.2,1.7,1.7,4.2,5.9,2.3,1,1.3,1.9,3.2,8.8
1980,Kent Benson,C,0.3,-0.2,0.4,25,DET,5.1,11,0.1,0.2,5,10.8,1.9,2.6,1.8,5.3,7.1,3,1.1,1.1,3,4,12.1
1980,Del Beshore,PG,-0.9,-1.7,0.8,23,CHI,1.3,3.7,0.1,0.4,1.1,3.3,0.9,1.3,0.2,0.7,0.9,2,0.9,0.1,1.5,1.5,3.6
1980,Henry Bibby,PG,3.4,1.3,2.1,30,PHI,3.1,7.6,0.1,0.6,2.9,7,2.8,3.5,0.8,1.7,2.5,3.7,0.8,0.1,1.8,2,9
1980,Larry Bird,PF,11.2,5.6,5.6,23,BOS,8.5,17.8,0.7,1.7,7.7,16.1,3.7,4.4,2.6,7.8,10.4,4.5,1.7,0.6,3.2,3.4,21.3
1980,Otis Birdsong,SG,8.6,4.9,3.7,24,KCK,9.5,18.9,0.1,0.4,9.4,18.4,3.5,5,2.1,2,4,2.5,1.7,0.3,2.2,2.8,22.7
1980,Ron Boone,SG,1,0.4,0.6,33,TOT,5,11.3,0.2,0.6,4.8,10.7,2.2,2.4,0.7,2.1,2.8,3.8,1.2,0,2.4,2.9,12.4
1980,Ron Boone,SG,1,0.4,0.6,33,LAL,2.3,6.7,0,0,2.3,6.7,1,1.2,0.7,1.2,1.8,1.2,0.8,0,2.2,2.2,5.7
1980,Ron Boone,SG,1,0.4,0.6,33,UTA,5.2,11.7,0.3,0.7,5,11,2.3,2.5,0.7,2.2,2.9,4,1.2,0,2.5,2.9,12.9
1980,Ron Boone,SG,-0.2,-0.3,0.1,33,TOT,5,11.3,0.2,0.6,4.8,10.7,2.2,2.4,0.7,2.1,2.8,3.8,1.2,0,2.4,2.9,12.4
1980,Ron Boone,SG,-0.2,-0.3,0.1,33,LAL,2.3,6.7,0,0,2.3,6.7,1,1.2,0.7,1.2,1.8,1.2,0.8,0,2.2,2.2,5.7
1980,Ron Boone,SG,-0.2,-0.3,0.1,33,UTA,5.2,11.7,0.3,0.7,5,11,2.3,2.5,0.7,2.2,2.9,4,1.2,0,2.5,2.9,12.9
1980,Ron Boone,SG,1.2,0.7,0.5,33,TOT,5,11.3,0.2,0.6,4.8,10.7,2.2,2.4,0.7,2.1,2.8,3.8,1.2,0,2.4,2.9,12.4
1980,Ron Boone,SG,1.2,0.7,0.5,33,LAL,2.3,6.7,0,0,2.3,6.7,1,1.2,0.7,1.2,1.8,1.2,0.8,0,2.2,2.2,5.7
1980,Ron Boone,SG,1.2,0.7,0.5,33,UTA,5.2,11.7,0.3,0.7,5,11,2.3,2.5,0.7,2.2,2.9,4,1.2,0,2.5,2.9,12.9
1980,Lawrence Boston,PF,0.2,0.1,0.1,23,WSB,1.8,4,0,0,1.8,4,0.6,1,1.5,1.5,3,0.2,0.3,0.2,0.6,1.9,4.3
1980,Tom Boswell,PF,3.7,3,0.7,26,TOT,4.4,7.8,0.1,0.1,4.3,7.6,2.6,3.5,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4
1980,Tom Boswell,PF,3.7,3,0.7,26,DEN,4,7.5,0.1,0.1,3.9,7.4,3.2,3.9,2.2,4.1,6.3,2.6,0.3,0.4,2.2,3.1,11.3
1980,Tom Boswell,PF,3.7,3,0.7,26,UTA,4.5,7.8,0.1,0.1,4.4,7.7,2.4,3.3,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5
1980,Tom Boswell,PF,1.1,0.9,0.2,26,TOT,4.4,7.8,0.1,0.1,4.3,7.6,2.6,3.5,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4
1980,Tom Boswell,PF,1.1,0.9,0.2,26,DEN,4,7.5,0.1,0.1,3.9,7.4,3.2,3.9,2.2,4.1,6.3,2.6,0.3,0.4,2.2,3.1,11.3
1980,Tom Boswell,PF,1.1,0.9,0.2,26,UTA,4.5,7.8,0.1,0.1,4.4,7.7,2.4,3.3,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5
1980,Tom Boswell,PF,2.6,2.1,0.5,26,TOT,4.4,7.8,0.1,0.1,4.3,7.6,2.6,3.5,1.8,3.7,5.6,2,0.4,0.5,2.3,3.4,11.4
1980,Tom Boswell,PF,2.6,2.1,0.5,26,DEN,4,7.5,0.1,0.1,3.9,7.4,3.2,3.9,2.2,4.1,6.3,2.6,0.3,0.4,2.2,3.1,11.3
1980,Tom Boswell,PF,2.6,2.1,0.5,26,UTA,4.5,7.8,0.1,0.1,4.4,7.7,2.4,3.3,1.7,3.6,5.4,1.9,0.4,0.5,2.3,3.5,11.5
1980,Winford Boynes,SG,1.7,0.3,1.3,22,NJN,3.5,7.3,0,0.1,3.5,7.2,1.6,2.1,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5
1980,Alonzo Bradley,SF,-0.2,-0.2,0,26,HOU,0.8,2.2,0,0,0.7,2.1,0.3,0.4,0.1,0.2,0.3,0.1,0.1,0,0.4,0.4,1.9
1980,Dudley Bradley,SG,3.1,0.2,2.9,22,IND,3.4,7.4,0,0.1,3.3,7.4,1.7,2.1,0.8,1.9,2.7,3.1,2.6,0.6,2,2.4,8.4
1980,Mike Bratz,PG,1.5,-0.5,2,24,PHO,3.3,8.4,0.3,1,3,7.3,1.7,2,0.6,1.4,2,2.7,1.1,0.1,1.6,2,8.5
1980,Jim Brewer,PF,2,0.5,1.5,28,POR,1.3,2.7,0,0.1,1.3,2.7,0.2,0.4,1.5,2.3,3.8,1.1,0.6,0.6,0.7,1.9,2.9
1980,Ron Brewer,SG,4.3,2,2.3,24,POR,6.7,14.4,0.1,0.4,6.6,14,2.2,2.7,0.7,2,2.6,2.6,1.2,0.6,2,1.9,15.7
1980,Junior Bridgeman,SF,6.1,3.6,2.5,26,MIL,7.3,15.3,0.1,0.3,7.3,15,2.8,3.3,1.3,2.4,3.7,2.9,1.2,0.2,2.1,2.7,17.6
1980,Allan Bristow,SF,4.4,3.2,1.2,28,UTA,4.6,9.6,0,0.1,4.6,9.5,2.4,3,2.1,4.2,6.2,4.2,1.1,0.1,2.2,2.6,11.6
1980,Fred Brown,SG,4.9,2.8,2.1,31,SEA,5.1,10.5,0.5,1.1,4.6,9.4,1.4,1.7,0.4,1.5,1.9,2.2,0.8,0.2,1.3,1.5,12
1980,John Brown,SF,0.1,-0.3,0.4,28,TOT,1.2,3.3,0,0,1.2,3.3,1.2,1.5,0.8,1.4,2.2,0.6,0.1,0.1,0.9,2.2,3.5
