,Season,Lg,Team,W,L,WinLossPercentage,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
0,2022-23,NBA,Brooklyn Nets,2,6,0.25,5th of 5,-3.65,98.5,-1.2,112.2,0.1,119,6.9,,"S. Nash (2-5), J. Vaughn (0-1)",K. Durant (1.1)
1,2021-22,NBA,Brooklyn Nets*,44,38,0.537,4th of 5,0.82,99,0.8,113.6,1.6,112.8,0.8,Lost E. Conf. 1st Rnd.,S. Nash (44-38),K. Durant (8.4)
2,2020-21,NBA,Brooklyn Nets*,48,24,0.667,2nd of 5,4.24,99.5,0.3,118.3,6,113.8,1.5,Lost E. Conf. Semis,S. Nash (48-24),K. Irving (7.4)
3,2019-20,NBA,Brooklyn Nets*,35,37,0.486,4th of 5,-1.01,101.4,1.1,108.9,-1.7,109.5,-1.1,Lost E. Conf. 1st Rnd.,"K. Atkinson (28-34), J. Vaughn (7-3)",J. Allen (8.2)
4,2018-19,NBA,Brooklyn Nets*,42,40,0.512,4th of 5,-0.4,100.8,0.8,109.6,-0.8,109.7,-0.7,Lost E. Conf. 1st Rnd.,K. Atkinson (42-40),J. Allen (7.6)
5,2017-18,NBA,Brooklyn Nets,28,54,0.341,5th of 5,-3.67,98.9,1.6,106.9,-1.7,110.6,2,,K. Atkinson (28-54),S. Dinwiddie (5.7)
6,2016-17,NBA,Brooklyn Nets,20,62,0.244,5th of 5,-6.74,101.3,4.9,104.1,-4.7,110.7,1.9,,K. Atkinson (20-62),B. Lopez (4.9)
7,2015-16,NBA,Brooklyn Nets,21,61,0.256,4th of 5,-7.12,95.2,-0.6,103.2,-3.2,110.9,4.5,,"L. Hollins (10-27), T. Brown (11-34)",B. Lopez (6.2)
8,2014-15,NBA,Brooklyn Nets*,38,44,0.463,3rd of 5,-3.13,92.7,-1.2,104.4,-1.2,107.4,1.8,Lost E. Conf. 1st Rnd.,L. Hollins (38-44),B. Lopez (7.0)
9,2013-14,NBA,Brooklyn Nets*,44,38,0.537,2nd of 5,-1.58,91.4,-2.5,106.7,0,107.7,1,Lost E. Conf. Semis,J. Kidd (44-38),D. Williams (5.4)
