"season","Cleaned_Team","playoffs","W","SRS","Pace","Rel.Pace","ORtg","Rel.ORtg","DRtg","Rel.DRtg","No_of_Awards"
"1951-52","Milwaukee Hawks","","17","-7.04","90.7","4.9","80.4","-6.5","89.1","2.2","1"
"1952-53","Fort Wayne Pistons","Lost W. Div. Finals","36","0.17","91.1","10.7","87.6","-0.4","87.7","0","1"
"1954-55","Milwaukee Hawks","","26","-2.66","100.5","2.4","86.4","-3.4","89.4","-0.4","1"
"1955-56","Rochester Royals","","31","-2.61","111.7","8.9","85.3","-5","87.9","-2.4","1"
"1955-56","St. Louis Hawks","Lost W. Div. Finals","33","-1.42","109.4","6.6","87.6","-2.7","88.9","-1.4","1"
"1956-57","Boston Celtics","Won Finals","44","4.78","118","13.1","88.5","-0.4","84","-4.9","2"
"1957-58","Boston Celtics","Lost Finals","49","5.02","124.8","7.8","88","-0.8","83.6","-5.2","1"
"1958-59","St. Louis Hawks","Lost W. Div. Finals","49","2.89","115.6","3.6","93.3","3.1","90.1","-0.1","1"
"1960-61","Boston Celtics","Won Finals","57","4.94","134.4","10.9","88.7","-3.4","84.5","-7.6","1"
"1960-61","Cincinnati Royals","","33","-3.04","122.8","-0.7","95.6","3.5","98.4","6.3","1"
"1961-62","Boston Celtics","Won Finals","60","8.25","130.8","9.5","92.1","-1.5","85.1","-8.5","1"
"1962-63","Boston Celtics","Won Finals","58","6.38","127.3","12.3","93","-2.9","87.4","-8.5","1"
"1963-64","Cincinnati Royals","Lost E. Div. Finals","55","4.43","115.9","2.7","98.9","4.3","94.5","-0.1","2"
"1964-65","Boston Celtics","Won Finals","62","7.46","123.6","6.3","90.9","-2.7","84.2","-9.4","1"
"1964-65","New York Knicks","","31","-3.26","113.5","-3.8","93.2","-0.4","96.4","2.8","1"
"1965-66","Philadelphia 76ers","Lost E. Div. Finals","55","4.16","122.8","1.4","95.3","0.4","91.5","-3.4","1"
"1965-66","San Francisco Warriors","","35","-2.36","124.6","3.2","92.6","-2.3","94.8","-0.1","1"
"1966-67","Detroit Pistons","","30","-4.98","121.5","-0.1","90.9","-5.2","95.4","-0.7","1"
"1966-67","Philadelphia 76ers","Won Finals","68","8.5","122.9","1.3","101.5","5.4","93.9","-2.2","1"
"1967-68","Baltimore Bullets","","36","-0.23","121.5","1.7","96.2","-0.6","96.6","-0.2","1"
"1967-68","Philadelphia 76ers","Lost E. Div. Finals","62","7.96","124.3","4.5","98.1","1.3","91.2","-5.6","1"
"1968-69","Baltimore Bullets","Lost E. Div. Semis","57","4.05","121.8","4.9","95.2","-0.3","91.7","-3.8","2"
"1969-70","Milwaukee Bucks","Lost E. Div. Finals","56","4.25","115.8","-1.3","102.1","3.1","98.1","-0.9","1"
"1969-70","New York Knicks","Won Finals","60","8.42","114.3","-2.8","100.3","1.3","92.4","-6.6","1"
"1970-71","Boston Celtics","","44","2.3","120.2","5.1","97","-0.2","95.3","-1.9","1"
"1970-71","Milwaukee Bucks","Won Finals","66","11.92","113.4","-1.7","103.9","6.7","93.1","-4.1","1"
"1970-71","Portland Trail Blazers","","29","-6.2","120.6","5.5","95.4","-1.8","99.1","1.9","1"
"1971-72","Milwaukee Bucks","Lost W. Conf. Finals","63","10.7","111.2","-0.8","102.6","4.7","92.6","-5.3","1"
"1971-72","Portland Trail Blazers","","18","-8.84","112.3","0.3","94.5","-3.4","103.1","5.2","1"
"1972-73","Boston Celtics","Lost E. Conf. Finals","68","7.35","114.5","3.8","98.1","1.3","91","-5.8","1"
"1972-73","Buffalo Braves","","21","-8.85","110.9","0.2","92.9","-3.9","101.2","4.4","1"
"1973-74","Buffalo Braves","Lost E. Conf. Semis","42","-0.19","111.6","3.8","99.3","1.6","99.4","1.7","1"
"1973-74","Milwaukee Bucks","Lost Finals","59","7.61","105.4","-2.4","101.2","3.5","93.6","-4.1","1"
"1974-75","Buffalo Braves","Lost E. Conf. Semis","49","2.16","107.7","3.2","99.8","2.1","97.8","0.1","1"
"1974-75","Golden State Warriors","Won Finals","48","2.86","107.6","3.1","100.4","2.7","97.3","-0.4","1"
"1975-76","Los Angeles Lakers","","40","0.18","108","2.5","98.9","0.6","98.8","0.5","1"
"1975-76","Phoenix Suns","Lost Finals","42","0.59","105.6","0.1","98.5","0.2","97.9","-0.4","1"
"1976-77","Buffalo Braves","","30","-4.28","107.3","0.8","97.6","-1.9","101.8","2.3","1"
"1976-77","Los Angeles Lakers","Lost W. Conf. Finals","53","2.64","104.7","-1.8","101.4","1.9","98.9","-0.6","1"
"1977-78","Phoenix Suns","Lost W. Conf. 1st Rnd.","49","3.5","111.4","4.7","100.3","-0.6","97","-3.9","1"
"1977-78","Portland Trail Blazers","Lost W. Conf. Semis","58","5.92","104.2","-2.5","103.1","2.2","97.2","-3.7","1"
"1978-79","Houston Rockets","Lost E. Conf. 1st Rnd.","47","0.92","103.8","-2","108.7","4.9","107.7","3.9","1"
"1978-79","Kansas City Kings","Lost W. Conf. Semis","48","2.73","107.3","1.5","104.5","0.7","101.9","-1.9","1"
"1979-80","Boston Celtics","Lost E. Conf. Finals","61","7.37","102.6","-0.5","109.4","4.1","101.9","-3.4","1"
"1979-80","Los Angeles Lakers","Won Finals","60","5.4","104.1","1","109.5","4.2","103.9","-1.4","1"
"1980-81","Philadelphia 76ers","Lost E. Conf. Finals","62","7.76","103.4","1.6","107","1.5","99.5","-6","1"
"1981-82","Houston Rockets","Lost W. Conf. 1st Rnd.","46","-0.39","97.2","-3.7","108.3","1.4","108.3","1.4","1"
"1981-82","New Jersey Nets","Lost E. Conf. 1st Rnd.","44","0.87","103.1","2.2","103","-3.9","102.3","-4.6","1"
"1982-83","Milwaukee Bucks","Lost E. Conf. Finals","51","4.32","100","-3.1","105.8","1.1","101.4","-3.3","1"
"1982-83","Philadelphia 76ers","Won Finals","65","7.53","102.7","-0.4","108.3","3.6","100.9","-3.8","2"
"1982-83","San Diego Clippers","","25","-4.61","103","-0.1","104.7","0","109.3","4.6","1"
"1983-84","Boston Celtics","Won Finals","62","6.42","99.7","-1.7","110.9","3.3","104.4","-3.2","2"
"1983-84","Houston Rockets","","29","-3.12","104.7","3.3","105.3","-2.3","108.2","0.6","1"
