Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player
10/19/2022,26-030,W (+10),1,38:14:00,8,19,0.421,1,5,0.2,3,3,1,0,5,5,11,5,1,0,0,20,24.8,8,Dejounte Murray
10/21/2022,26-032,W (+10),1,39:37:00,8,16,0.5,2,5,0.4,2,2,1,1,8,9,9,4,0,7,2,20,17.6,17,Dejounte Murray
10/23/2022,26-034,L (-17),1,38:48:00,7,15,0.467,2,4,0.5,3,3,1,1,7,8,5,1,1,4,2,19,14.5,-11,Dejounte Murray
10/26/2022,26-037,W (+5),1,39:19:00,5,18,0.278,2,6,0.333,2,4,0.5,2,6,8,8,2,2,2,2,14,12,4,Dejounte Murray
10/28/2022,26-039,W (+24),1,32:23:00,12,21,0.571,2,6,0.333,0,0,,0,4,4,5,0,0,0,0,26,20.8,21,Dejounte Murray
10/29/2022,26-040,L (-8),1,34:16:00,9,19,0.474,3,5,0.6,0,0,,0,5,5,6,2,0,1,3,21,16.8,1,Dejounte Murray
10/31/2022,26-042,L (-30),1,30:31:00,7,15,0.467,2,4,0.5,4,4,1,0,4,4,9,0,0,4,3,20,14.6,-12,Dejounte Murray
11/2/2022,26-044,W (+13),1,38:06:00,14,27,0.519,5,12,0.417,3,3,1,0,4,4,9,5,1,3,1,36,32.5,26,Dejounte Murray
11/5/2022,26-047,W (+3),1,41:47:00,9,23,0.391,1,8,0.125,3,4,0.75,2,8,10,11,3,0,2,3,22,20.4,21,Dejounte Murray
11/7/2022,26-049,W (+19),1,32:03:00,11,24,0.458,3,9,0.333,0,0,,2,6,8,11,3,0,3,1,25,23.1,4,Dejounte Murray
11/9/2022,26-051,L (-6),1,37:49:00,11,20,0.55,1,5,0.2,3,4,0.75,1,5,6,5,0,1,3,4,26,17.8,-7,Dejounte Murray
11/10/2022,26-052,W (+9),1,34:42:00,5,13,0.385,0,4,0,0,0,,0,3,3,8,2,0,2,1,10,9,-14,Dejounte Murray
11/12/2022,26-054,L (-12),1,38:19:00,9,23,0.391,1,4,0.25,4,4,1,3,5,8,7,2,0,0,1,23,20.6,-21,Dejounte Murray
11/14/2022,26-056,W (+15),1,36:01:00,6,14,0.429,1,4,0.25,6,7,0.857,0,8,8,5,0,0,1,2,19,15.3,6,Dejounte Murray
11/16/2022,26-058,L (-25),1,33:43:00,9,17,0.529,1,3,0.333,0,0,,0,3,3,5,1,0,3,3,19,11.9,-24,Dejounte Murray
11/19/2022,26-061,W (+2),1,40:21:00,7,18,0.389,1,6,0.167,2,2,1,0,7,7,4,2,0,2,0,17,12.1,13,Dejounte Murray
11/21/2022,26-063,L (-12),1,37:19:00,4,17,0.235,1,4,0.25,2,2,1,1,3,4,6,1,0,4,1,11,3.1,-6,Dejounte Murray
