,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
0,10/19/2022,26.08219178082192,W,1,38.233333333333334,8,19,0.421,1,5,0.2,3,3,1.0,0,5,5,11,5,1,0,0,20,24.8,8.0,Dejounte Murray,7,14,0.5
1,10/21/2022,26.087671232876712,W,1,39.61666666666667,8,16,0.5,2,5,0.4,2,2,1.0,1,8,9,9,4,0,7,2,20,17.6,17.0,Dejounte Murray,6,11,0.5454545454545454
2,10/23/2022,26.09315068493151,L,1,38.8,7,15,0.467,2,4,0.5,3,3,1.0,1,7,8,5,1,1,4,2,19,14.5,-11.0,Dejounte Murray,5,11,0.45454545454545453
3,10/26/2022,26.101369863013698,W,1,39.31666666666667,5,18,0.278,2,6,0.333,2,4,0.5,2,6,8,8,2,2,2,2,14,12.0,4.0,Dejounte Murray,3,12,0.25
4,10/28/2022,26.106849315068494,W,1,32.38333333333333,12,21,0.571,2,6,0.333,0,0,,0,4,4,5,0,0,0,0,26,20.8,21.0,Dejounte Murray,10,15,0.6666666666666666
5,10/29/2022,26.10958904109589,L,1,34.266666666666666,9,19,0.474,3,5,0.6,0,0,,0,5,5,6,2,0,1,3,21,16.8,1.0,Dejounte Murray,6,14,0.42857142857142855
6,10/31/2022,26.115068493150684,L,1,30.516666666666666,7,15,0.467,2,4,0.5,4,4,1.0,0,4,4,9,0,0,4,3,20,14.6,-12.0,Dejounte Murray,5,11,0.45454545454545453
7,11/2/2022,26.12054794520548,W,1,38.1,14,27,0.519,5,12,0.417,3,3,1.0,0,4,4,9,5,1,3,1,36,32.5,26.0,Dejounte Murray,9,15,0.6
8,11/5/2022,26.12876712328767,W,1,41.78333333333333,9,23,0.391,1,8,0.125,3,4,0.75,2,8,10,11,3,0,2,3,22,20.4,21.0,Dejounte Murray,8,15,0.5333333333333333
9,11/7/2022,26.134246575342466,W,1,32.05,11,24,0.458,3,9,0.333,0,0,,2,6,8,11,3,0,3,1,25,23.1,4.0,Dejounte Murray,8,15,0.5333333333333333
