,Date,Age,Game Result,GS,MP,FG,FGA,FGcent,3P,3PA,3Pcent,FT,FTA,FTcent,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PointDifference,Player,2P,2PA,2Pcent
2,10/23/2022,26.09315068493151,L,1,38.8,7,15,0.467,2,4,0.5,3,3,1.0,1,7,8,5,1,1,4,2,19,14.5,-11.0,Dejounte Murray,5,11,0.45454545454545453
6,10/31/2022,26.115068493150684,L,1,30.516666666666666,7,15,0.467,2,4,0.5,4,4,1.0,0,4,4,9,0,0,4,3,20,14.6,-12.0,Dejounte Murray,5,11,0.45454545454545453
10,11/9/2022,26.13972602739726,L,1,37.81666666666667,11,20,0.55,1,5,0.2,3,4,0.75,1,5,6,5,0,1,3,4,26,17.8,-7.0,Dejounte Murray,10,15,0.6666666666666666
11,11/10/2022,26.14246575342466,W,1,34.7,5,13,0.385,0,4,0.0,0,0,,0,3,3,8,2,0,2,1,10,9.0,-14.0,Dejounte Murray,5,9,0.5555555555555556
12,11/12/2022,26.147945205479452,L,1,38.31666666666667,9,23,0.391,1,4,0.25,4,4,1.0,3,5,8,7,2,0,0,1,23,20.6,-21.0,Dejounte Murray,8,19,0.42105263157894735
14,11/16/2022,26.15890410958904,L,1,33.71666666666667,9,17,0.529,1,3,0.333,0,0,,0,3,3,5,1,0,3,3,19,11.9,-24.0,Dejounte Murray,8,14,0.5714285714285714
16,11/21/2022,26.172602739726027,L,1,37.31666666666667,4,17,0.235,1,4,0.25,2,2,1.0,1,3,4,6,1,0,4,1,11,3.1,-6.0,Dejounte Murray,3,13,0.23076923076923078
18,11/25/2022,26.183561643835617,L,1,35.65,14,24,0.583,8,13,0.615,3,3,1.0,0,3,3,3,2,0,3,2,39,29.0,-6.0,Dejounte Murray,6,11,0.5454545454545454
19,11/27/2022,26.18904109589041,L,1,38.81666666666667,5,16,0.313,2,8,0.25,1,2,0.5,0,5,5,2,1,0,2,0,13,5.3,-13.0,Dejounte Murray,3,8,0.375
22,10/23/2022,25.08219178082192,L,1,38.483333333333334,3,12,0.25,0,7,0.0,4,4,1.0,2,8,10,1,1,4,1,2,10,9.3,-11.0,John Collins,3,5,0.6
25,10/29/2022,25.0986301369863,L,1,31.416666666666668,2,4,0.5,0,2,0.0,0,2,0.0,2,3,5,2,0,0,2,3,4,1.7,-5.0,John Collins,2,2,1.0
26,10/31/2022,25.104109589041094,L,1,29.616666666666667,5,12,0.417,1,6,0.167,1,1,1.0,3,9,12,1,0,0,0,6,12,8.7,-24.0,John Collins,4,6,0.6666666666666666
28,11/5/2022,25.117808219178084,W,1,35.86666666666667,3,6,0.5,1,2,0.5,0,0,,1,4,5,1,0,2,0,4,7,6.4,-2.0,John Collins,2,4,0.5
31,11/10/2022,25.13150684931507,W,1,25.733333333333334,3,11,0.273,0,3,0.0,5,5,1.0,0,4,4,2,1,0,2,5,11,4.1,0.0,John Collins,3,8,0.375
32,11/12/2022,25.136986301369863,L,1,33.483333333333334,2,6,0.333,0,3,0.0,2,2,1.0,1,5,6,0,0,1,0,2,6,4.7,-22.0,John Collins,2,3,0.6666666666666666
34,11/16/2022,25.147945205479452,L,1,31.983333333333334,6,12,0.5,0,3,0.0,0,0,,0,3,3,0,0,3,2,0,12,7.0,-17.0,John Collins,6,9,0.6666666666666666
36,11/21/2022,25.161643835616438,L,1,33.916666666666664,5,9,0.556,3,5,0.6,3,3,1.0,1,0,1,2,2,1,2,5,16,12.5,-17.0,John Collins,2,4,0.5
38,11/25/2022,25.172602739726027,L,1,33.733333333333334,2,7,0.286,0,4,0.0,4,5,0.8,0,5,5,1,2,2,0,2,8,8.3,-4.0,John Collins,2,3,0.6666666666666666
39,11/27/2022,25.17808219178082,L,1,36.56666666666667,11,17,0.647,1,4,0.25,0,0,,1,13,14,2,0,1,0,3,23,21.0,-4.0,John Collins,10,13,0.7692307692307693
40,10/19/2022,20.835616438356166,W,0,14.35,1,1,1.0,0,0,,3,4,0.75,0,1,1,0,0,0,1,2,5,2.8,-1.0,Jalen Johnson,1,1,1.0
