No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College
0,Jayson Tatum,PF,6-8,210,March 3 1998,us,5,Duke
36,Marcus Smart,PG,6-3,220,March 6 1994,us,8,Oklahoma State
9,Derrick White,SG,6-4,190,July 2 1994,us,5,Colorado-Colorado Springs Colorado
30,Sam Hauser,PF,6-8,215,December 8 1997,us,1,Marquette Virginia
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,6,California
12,Grant Williams,PF,6-6,236,November 30 1998,us,3,Tennessee
13,Malcolm Brogdon,PG,6-5,229,December 11 1992,us,6,Virginia
4,Noah Vonleh,C,6-10,257,August 24 1995,us,7,Indiana
42,Al Horford,C,6-9,240,June 3 1986,do,15,Florida
40,Luke Kornet,C,7-2,250,July 15 1995,us,5,Vanderbilt
11,Payton Pritchard,PG,6-1,195,January 28 1998,us,2,Oregon
91,Blake Griffin,PF,6-9,250,March 16 1989,us,12,Oklahoma
43,Justin Jackson,SF,6-8,220,March 28 1995,us,5,UNC
20,JD Davison  (TW),PG,6-3,195,October 3 2002,us,R,Alabama
,Mfiondu Kabengele  (TW),PF,6-9,250,August 14 1997,ca,2,Florida State
,Danilo Gallinari,SF,6-10,233,August 8 1988,it,13,
,Robert Williams,C,6-9,237,October 17 1997,us,4,Texas A&M
