Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Minneapolis Lakers*,68,,2139,5832,.367,,,,2139,5832,.367,1439,1943,.741,,,,1406,,,,1672,5717
Rochester Royals*,68,,1956,5247,.373,,,,1956,5247,.373,1690,2319,.729,,,,1383,,,,1585,5602
Anderson Packers*,64,,1943,6254,.311,,,,1943,6254,.311,1703,2343,.727,,,,1240,,,,1806,5589
Indianapolis Olympians*,64,,1982,5283,.375,,,,1982,5283,.375,1529,2145,.713,,,,1342,,,,1676,5493
New York Knicks*,68,,1889,5351,.353,,,,1889,5351,.353,1710,2404,.711,,,,1308,,,,1718,5488
Syracuse Nationals*,64,,1869,5276,.354,,,,1869,5276,.354,1691,2396,.706,,,,1473,,,,1833,5429
Boston Celtics,68,,1945,5756,.338,,,,1945,5756,.338,1530,2163,.707,,,,1473,,,,1644,5420
Fort Wayne Pistons*,68,,1878,5901,.318,,,,1878,5901,.318,1634,2331,.701,,,,1364,,,,2065,5390
Chicago Stags*,68,,2003,5892,.340,,,,2003,5892,.340,1346,1934,.696,,,,1366,,,,1977,5352
Tri-Cities Blackhawks*,64,,1818,5515,.330,,,,1818,5515,.330,1677,2308,.727,,,,1330,,,,2057,5313
Washington Capitols*,68,,1813,5493,.330,,,,1813,5493,.330,1575,2111,.746,,,,1057,,,,1837,5201
Sheboygan Red Skins*,62,,1727,5022,.344,,,,1727,5022,.344,1654,2338,.707,,,,1279,,,,1766,5108
St. Louis Bombers,68,,1741,5086,.342,,,,1741,5086,.342,1528,2149,.711,,,,1285,,,,1596,5010
Philadelphia Warriors*,68,,1779,5711,.312,,,,1779,5711,.312,1425,2037,.700,,,,1142,,,,1768,4983
Baltimore Bullets,68,,1712,5516,.310,,,,1712,5516,.310,1549,2123,.730,,,,1189,,,,1792,4973
Waterloo Hawks,62,,1746,4904,.356,,,,1746,4904,.356,1429,2002,.714,,,,1324,,,,1780,4921
Denver Nuggets,62,,1731,5182,.334,,,,1731,5182,.334,1355,1999,.678,,,,1044,,,,1692,4817
League Average,66,,1863,5484,.340,,,,1863,5484,.340,1557,2179,.714,,,,1294,,,,1780,5283
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,69,,2065,5607,.368,,,,2065,5607,.368,1751,2415,.725,,,3499,1579,,,,1881,5881
Rochester Royals*,68,,2032,5377,.378,,,,2032,5377,.378,1692,2248,.753,,,3015,1368,,,,1534,5756
Tri-Cities Blackhawks,68,,1988,6041,.329,,,,1988,6041,.329,1754,2425,.723,,,3715,1476,,,,2092,5730
Fort Wayne Pistons*,68,,2002,5927,.338,,,,2002,5927,.338,1718,2387,.720,,,3725,1142,,,,1961,5722
Syracuse Nationals*,66,,1884,5365,.351,,,,1884,5365,.351,1912,2634,.726,,,3259,1493,,,,1995,5680
New York Knicks*,66,,2037,5380,.379,,,,2037,5380,.379,1592,2231,.714,,,3421,1551,,,,1810,5666
Philadelphia Warriors*,66,,1985,5665,.350,,,,1985,5665,.350,1664,2181,.763,,,3586,1432,,,,1710,5634
Minneapolis Lakers*,68,,2084,5590,.373,,,,2084,5590,.373,1464,1989,.736,,,3409,1408,,,,1801,5632
Indianapolis Olympians*,68,,2096,5779,.363,,,,2096,5779,.363,1363,1902,.717,,,2779,1455,,,,1569,5555
Baltimore Bullets,66,,1955,5542,.353,,,,1955,5542,.353,1504,2020,.745,,,3044,1345,,,,1736,5414
Washington Capitols,35,,965,2893,.334,,,,965,2893,.334,914,1194,.765,,,1567,584,,,,1050,2844
League Average,64,,1918,5379,.357,,,,1918,5379,.357,1575,2148,.733,,,3184,1348,,,,1740,5410
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,66,,2131,5510,.387,,,,2131,5510,.387,1765,2406,.734,,,3750,1606,,,,1734,6027
Syracuse Nationals*,66,,1894,5207,.364,,,,1894,5207,.364,1933,2589,.747,,,3603,1373,,,,1970,5721
Philadelphia Warriors*,66,,2039,5367,.380,,,,2039,5367,.380,1634,2143,.762,,,3647,1593,,,,1806,5712
Rochester Royals*,66,,2014,5172,.389,,,,2014,5172,.389,1661,2150,.773,,,3373,1590,,,,1804,5689
Minneapolis Lakers*,66,,2106,5733,.367,,,,2106,5733,.367,1436,1921,.748,,,3543,1389,,,,1763,5648
New York Knicks*,66,,2022,5282,.383,,,,2022,5282,.383,1565,2185,.716,,,3834,1567,,,,1770,5609
Indianapolis Olympians*,66,,2026,5513,.367,,,,2026,5513,.367,1422,1965,.724,,,3288,1290,,,,1586,5474
Baltimore Bullets,66,,1882,5495,.342,,,,1882,5495,.342,1614,2211,.730,,,3780,1417,,,,1719,5378
Fort Wayne Pistons*,66,,1771,5013,.353,,,,1771,5013,.353,1609,2194,.733,,,3619,1403,,,,1751,5151
Milwaukee Hawks,66,,1674,5055,.331,,,,1674,5055,.331,1485,2177,.682,,,3540,1229,,,,1848,4833
League Average,66,,1956,5335,.367,,,,1956,5335,.367,1612,2194,.735,,,3598,1446,,,,1775,5524
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,71,,2177,5555,.392,,,,2177,5555,.392,1904,2617,.728,,,3865,1666,,,,1911,6258
Syracuse Nationals*,71,,1942,5329,.364,,,,1942,5329,.364,2197,2950,.745,,,3472,1459,,,,2132,6081
Rochester Royals*,70,,2019,5432,.372,,,,2019,5432,.372,2005,2747,.730,,,3625,1520,,,,2210,6043
New York Knicks*,70,,2059,5339,.386,,,,2059,5339,.386,1867,2652,.704,,,4007,1575,,,,2053,5985
Minneapolis Lakers*,70,,2166,5559,.390,,,,2166,5559,.390,1641,2221,.739,,,3406,1351,,,,1917,5973
Baltimore Bullets*,70,,2083,5615,.371,,,,2083,5615,.371,1745,2542,.686,,,3727,1514,,,,2141,5911
Fort Wayne Pistons*,69,,1876,5230,.359,,,,1876,5230,.359,1839,2491,.738,,,3548,1438,,,,2119,5591
Philadelphia Warriors,69,,1987,5546,.358,,,,1987,5546,.358,1560,2298,.679,,,3763,1513,,,,1860,5534
Milwaukee Hawks,71,,1873,5320,.352,,,,1873,5320,.352,1643,2400,.685,,,3429,1427,,,,2120,5389
Indianapolis Olympians*,71,,1829,5204,.351,,,,1829,5204,.351,1637,2277,.719,,,3326,1281,,,,1765,5295
League Average,70,,2001,5413,.370,,,,2001,5413,.370,1804,2520,.716,,,3617,1474,,,,2023,5806
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,72,,2232,5580,.400,,,,2232,5580,.400,1851,2550,.726,,,3867,1773,,,,1969,6315
Syracuse Nationals*,72,,2054,5579,.368,,,,2054,5579,.368,1905,2650,.719,,,3652,1541,,,,1852,6013
Minneapolis Lakers*,72,,2184,5803,.376,,,,2184,5803,.376,1512,2067,.731,,,3752,1323,,,,1918,5880
Rochester Royals*,72,,2010,5451,.369,,,,2010,5451,.369,1722,2518,.684,,,3494,1454,,,,1904,5742
New York Knicks*,72,,1934,5177,.374,,,,1934,5177,.374,1820,2525,.721,,,3830,1469,,,,1832,5688
Baltimore Bullets,72,,2036,5539,.368,,,,2036,5539,.368,1566,2312,.677,,,3816,1385,,,,1777,5638
Philadelphia Warriors,72,,2023,5431,.372,,,,2023,5431,.372,1586,2272,.698,,,3589,1468,,,,1741,5632
Fort Wayne Pistons*,72,,1952,5187,.376,,,,1952,5187,.376,1689,2315,.730,,,3785,1474,,,,1669,5593
Milwaukee Hawks,72,,1757,5087,.345,,,,1757,5087,.345,1524,2202,.692,,,3202,1298,,,,1771,5038
League Average,72,,2020,5426,.372,,,,2020,5426,.372,1686,2379,.709,,,3665,1465,,,,1826,5727
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,72,,2604,6533,.399,,,,2604,6533,.399,2097,2704,.776,,,4293,1905,,,,1859,7305
Minneapolis Lakers*,72,,2506,6465,.388,,,,2506,6465,.388,1873,2517,.744,,,3865,1468,,,,1935,6885
Philadelphia Warriors,72,,2392,6234,.384,,,,2392,6234,.384,1928,2625,.734,,,4238,1744,,,,1716,6712
New York Knicks*,72,,2392,6149,.389,,,,2392,6149,.389,1887,2593,.728,,,4379,1744,,,,1587,6671
Fort Wayne Pistons*,72,,2333,5980,.390,,,,2333,5980,.390,1986,2710,.733,,,3826,1737,,,,1753,6652
Syracuse Nationals*,72,,2360,6343,.372,,,,2360,6343,.372,1837,2450,.750,,,3933,1778,,,,1658,6557
Rochester Royals*,72,,2399,6020,.399,,,,2399,6020,.399,1737,2420,.718,,,3904,1695,,,,1865,6535
Milwaukee Hawks,72,,2187,6041,.362,,,,2187,6041,.362,1917,2672,.717,,,3854,1544,,,,1904,6291
Baltimore Bullets,,,,,,,,,,,,,,,,,,,,,,,
League Average,72,,2397,6221,.385,,,,2397,6221,.385,1908,2586,.738,,,4037,1702,,,,1785,6701
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,72,,2745,6913,.397,,,,2745,6913,.397,2142,2785,.769,,,4583,1834,,,,1874,7632
Philadelphia Warriors*,72,,2641,6437,.410,,,,2641,6437,.410,2142,2829,.757,,,4362,1886,,,,1872,7424
New York Knicks*,72,,2508,6395,.392,,,,2508,6395,.392,2196,2913,.754,,,4562,1610,,,,1923,7212
Minneapolis Lakers*,72,,2541,6543,.388,,,,2541,6543,.388,2066,2627,.786,,,4133,1689,,,,1978,7148
Syracuse Nationals*,72,,2466,6661,.370,,,,2466,6661,.370,2044,2703,.756,,,4060,1710,,,,1783,6976
St. Louis Hawks*,72,,2506,6628,.378,,,,2506,6628,.378,1941,2761,.703,,,4493,1748,,,,1971,6953
Rochester Royals,72,,2551,6890,.370,,,,2551,6890,.370,1798,2567,.700,,,4449,1747,,,,1990,6900
Fort Wayne Pistons*,72,,2396,6174,.388,,,,2396,6174,.388,2002,2729,.734,,,3974,1752,,,,1789,6794
League Average,72,,2544,6580,.387,,,,2544,6580,.387,2041,2739,.745,,,4327,1747,,,,1898,7130
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics*,72,,2808,7326,.383,,,,2808,7326,.383,1983,2644,.750,,,4963,1464,,,,1851,7599
Minneapolis Lakers*,72,,2584,6965,.371,,,,2584,6965,.371,2195,2899,.757,,,4581,1195,,,,1887,7363
New York Knicks,72,,2569,6645,.387,,,,2569,6645,.387,2117,2844,.744,,,4723,1312,,,,1824,7255
Philadelphia Warriors*,72,,2584,6533,.396,,,,2584,6533,.396,2062,2658,.776,,,4305,1467,,,,1732,7230
Syracuse Nationals*,72,,2550,6915,.369,,,,2550,6915,.369,2075,2613,.794,,,4350,1282,,,,1809,7175
St. Louis Hawks*,72,,2557,6669,.383,,,,2557,6669,.383,1977,2710,.730,,,4566,1454,,,,1848,7091
Fort Wayne Pistons*,72,,2532,6612,.383,,,,2532,6612,.383,1874,2510,.747,,,4289,1398,,,,1643,6938
Rochester Royals,72,,2515,6807,.369,,,,2515,6807,.369,1698,2402,.707,,,4171,1298,,,,1866,6728
League Average,72,,2587,6809,.380,,,,2587,6809,.380,1998,2660,.751,,,4494,1359,,,,1808,7172
Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
New York Knicks,72,,2884,7307,.395,,,,2884,7307,.395,2300,3056,.753,,,5385,1359,,,,1865,8068
Boston Celtics*,72,,3006,7759,.387,,,,3006,7759,.387,1904,2585,.737,,,5402,1508,,,,1723,7916
St. Louis Hawks*,72,,2779,7162,.388,,,,2779,7162,.388,2180,3047,.715,,,5445,1541,,,,1875,7738
Syracuse Nationals*,72,,2823,7336,.385,,,,2823,7336,.385,2075,2617,.793,,,4895,1298,,,,1820,7721
Detroit Pistons*,72,,2746,7295,.376,,,,2746,7295,.376,2093,2774,.755,,,5168,1264,,,,1807,7585
Minneapolis Lakers,72,,2660,7192,.370,,,,2660,7192,.370,2246,3007,.747,,,5189,1322,,,,1982,7566
Philadelphia Warriors*,72,,2765,7276,.380,,,,2765,7276,.380,1977,2596,.762,,,4836,1441,,,,1763,7507
